reference,amount,status,created_at
REF-20260510222909,15000,pending,2026-05-10T22:29:09.946940
REF-B79CBAFE3D13,15000,pending,2026-05-10T21:12:33.191366
REF-20260511014008,97256,pending,2026-05-11T01:40:08.608705
REF-20260511014109,68478,failed,2026-05-11T01:41:09.243881
REF-20260511014139,70152,pending,2026-05-11T01:41:39.349032
REF-20260511014209,99270,timeout,2026-05-11T01:42:09.450832
REF-20260511014239,18181,failed,2026-05-11T01:42:39.539631
REF-20260511014339,4037,failed,2026-05-11T01:43:39.793752
REF-20260511014409,90636,failed,2026-05-11T01:44:09.899825
REF-20260511014439,75260,reversed,2026-05-11T01:44:39.975595
REF-20260511014509,50537,failed,2026-05-11T01:45:09.990032
REF-20260511014540,20696,timeout,2026-05-11T01:45:40.005599
REF-20260511014640,52022,failed,2026-05-11T01:46:40.032100
REF-20260511014710,97222,timeout,2026-05-11T01:47:10.123015
REF-20260511014740,55387,pending,2026-05-11T01:47:40.290173
REF-20260511014840,99258,timeout,2026-05-11T01:48:40.492314
REF-20260511014910,33705,failed,2026-05-11T01:49:10.592001
REF-20260511014940,12883,pending,2026-05-11T01:49:40.681993
REF-20260511015010,93606,reversed,2026-05-11T01:50:10.903951
REF-20260511015040,36758,failed,2026-05-11T01:50:40.913077
REF-20260511015140,43717,failed,2026-05-11T01:51:40.939224
REF-20260511015210,54374,reversed,2026-05-11T01:52:10.954203
REF-20260511015240,28256,pending,2026-05-11T01:52:40.989793
REF-20260511015311,87116,success,2026-05-11T01:53:11.082277
REF-20260511015341,11283,timeout,2026-05-11T01:53:41.178440
REF-20260511015441,49749,success,2026-05-11T01:54:41.496318
REF-20260511015511,43669,reversed,2026-05-11T01:55:11.598089
REF-20260511015541,49510,timeout,2026-05-11T01:55:41.707970
REF-20260511015611,78217,failed,2026-05-11T01:56:11.802966
REF-20260511145705,9559,success,2026-05-11T14:57:05.484088
REF-20260511145735,43583,failed,2026-05-11T14:57:35.724408
REF-20260511145805,62049,failed,2026-05-11T14:58:05.802783
REF-20260511145835,17046,pending,2026-05-11T14:58:35.895557
REF-20260511145905,88099,failed,2026-05-11T14:59:05.984507
REF-20260511145936,19371,failed,2026-05-11T14:59:36.109700
REF-20260511151618,15759,failed,2026-05-11T15:16:18.946537
REF-20260512072557,44585,reversed,2026-05-12T07:25:57.250157
REF-20260512072627,58820,failed,2026-05-12T07:26:27.312900
REF-20260512072657,30503,timeout,2026-05-12T07:26:57.487650
REF-20260512072757,11882,failed,2026-05-12T07:27:57.793477
REF-20260512072858,79965,success,2026-05-12T07:28:58.022824
REF-20260512072928,91139,failed,2026-05-12T07:29:28.100413
REF-20260512073028,1504,failed,2026-05-12T07:30:28.308573
REF-20260512073058,72843,reversed,2026-05-12T07:30:58.329354
REF-20260512073128,54744,failed,2026-05-12T07:31:28.337067
REF-20260512073158,9833,reversed,2026-05-12T07:31:58.343225
REF-20260512073228,14344,failed,2026-05-12T07:32:28.436467
REF-20260512073258,65171,reversed,2026-05-12T07:32:58.646366
REF-20260512073328,78329,success,2026-05-12T07:33:28.771878
REF-20260512073428,6597,failed,2026-05-12T07:34:28.948479
REF-20260512073459,91048,reversed,2026-05-12T07:34:59.149407
REF-20260512073529,2993,failed,2026-05-12T07:35:29.218512
REF-20260512073559,83496,pending,2026-05-12T07:35:59.223346
REF-20260512073659,19649,failed,2026-05-12T07:36:59.242341
REF-20260512073729,19887,pending,2026-05-12T07:37:29.248210
REF-20260512073759,54943,failed,2026-05-12T07:37:59.256492
REF-20260512073829,48896,timeout,2026-05-12T07:38:29.466697
REF-20260512073929,38813,failed,2026-05-12T07:39:29.842366
REF-20260512073959,60627,reversed,2026-05-12T07:39:59.933595
REF-20260512074030,70861,reversed,2026-05-12T07:40:30.039271
REF-20260512074100,40901,timeout,2026-05-12T07:41:00.141430
REF-20260512074230,38589,reversed,2026-05-12T07:42:30.307478
REF-20260512074300,73426,timeout,2026-05-12T07:43:00.322284
REF-20260512074400,84254,failed,2026-05-12T07:44:00.349707
REF-20260512074430,71227,failed,2026-05-12T07:44:30.432093
REF-20260512074600,81061,success,2026-05-12T07:46:00.842414
REF-20260512081855,46205,success,2026-05-12T08:18:55.755368
REF-20260512081925,88945,reversed,2026-05-12T08:19:25.891410
REF-20260512081955,23801,timeout,2026-05-12T08:19:55.987524
