reference,issue,amount,expected_amount,severity,date
REF-20260510222908,MISSING_IN_MERCHANT,15000,,high,2026-05-10T22:29:08.438216
REF-20260511014039,MISSING_IN_MERCHANT,59319,,high,2026-05-11T01:40:39.152273
REF-20260511014109,STATUS_MISMATCH,68478,,med,2026-05-11T01:41:09.243881
REF-20260511014139,AMOUNT_MISMATCH,69988,70152.0,med,2026-05-11T01:41:39.349032
REF-20260511014209,AMOUNT_MISMATCH,99142,99270.0,med,2026-05-11T01:42:09.450832
REF-20260511014239,STATUS_MISMATCH,18181,,med,2026-05-11T01:42:39.539631
REF-20260511014309,MISSING_IN_MERCHANT,63009,,high,2026-05-11T01:43:09.634041
REF-20260511014339,STATUS_MISMATCH,4037,,med,2026-05-11T01:43:39.793752
REF-20260511014409,STATUS_MISMATCH,90636,,med,2026-05-11T01:44:09.899825
REF-20260511014610,MISSING_IN_MERCHANT,77055,,high,2026-05-11T01:46:10.021002
REF-20260511014710,AMOUNT_MISMATCH,96840,97222.0,med,2026-05-11T01:47:10.123015
REF-20260511014740,AMOUNT_MISMATCH,54979,55387.0,med,2026-05-11T01:47:40.290173
REF-20260511014810,MISSING_IN_MERCHANT,77271,,high,2026-05-11T01:48:10.391954
REF-20260511014910,STATUS_MISMATCH,33705,,med,2026-05-11T01:49:10.592001
REF-20260511014940,AMOUNT_MISMATCH,12479,12883.0,med,2026-05-11T01:49:40.681993
REF-20260511015040,STATUS_MISMATCH,36758,,med,2026-05-11T01:50:40.913077
REF-20260511015110,MISSING_IN_MERCHANT,48136,,high,2026-05-11T01:51:10.928582
REF-20260511015411,MISSING_IN_MERCHANT,54232,,high,2026-05-11T01:54:11.273715
REF-20260511015541,AMOUNT_MISMATCH,49104,49510.0,med,2026-05-11T01:55:41.707970
REF-20260511015611,STATUS_MISMATCH,78217,,med,2026-05-11T01:56:11.802966
REF-20260511145705,AMOUNT_MISMATCH,9353,9559.0,med,2026-05-11T14:57:05.484088
REF-20260511145735,STATUS_MISMATCH,43583,,med,2026-05-11T14:57:35.724408
REF-20260511145805,STATUS_MISMATCH,62049,,med,2026-05-11T14:58:05.802783
REF-20260511145835,AMOUNT_MISMATCH,16724,17046.0,med,2026-05-11T14:58:35.895557
REF-20260511145936,STATUS_MISMATCH,19371,,med,2026-05-11T14:59:36.109700
REF-20260511151418,MISSING_IN_MERCHANT,59411,,high,2026-05-11T15:14:18.401314
REF-20260511151448,MISSING_IN_MERCHANT,38752,,high,2026-05-11T15:14:48.548437
REF-20260511151518,MISSING_IN_MERCHANT,65310,,high,2026-05-11T15:15:18.760511
REF-20260511151548,MISSING_IN_MERCHANT,42637,,high,2026-05-11T15:15:48.840455
REF-20260512072526,MISSING_IN_MERCHANT,53331,,high,2026-05-12T07:25:26.907129
REF-20260512072627,STATUS_MISMATCH,58820,,med,2026-05-12T07:26:27.312900
REF-20260512072727,MISSING_IN_MERCHANT,61974,,high,2026-05-12T07:27:27.679701
REF-20260512072827,MISSING_IN_MERCHANT,60511,,high,2026-05-12T07:28:27.958718
REF-20260512072858,AMOUNT_MISMATCH,79527,79965.0,med,2026-05-12T07:28:58.022824
REF-20260512072928,STATUS_MISMATCH,91139,,med,2026-05-12T07:29:28.100413
REF-20260512072958,MISSING_IN_MERCHANT,89086,,high,2026-05-12T07:29:58.293050
REF-20260512073028,STATUS_MISMATCH,1504,,med,2026-05-12T07:30:28.308573
REF-20260512073058,AMOUNT_MISMATCH,72701,72843.0,med,2026-05-12T07:30:58.329354
REF-20260512073128,STATUS_MISMATCH,54744,,med,2026-05-12T07:31:28.337067
REF-20260512073228,STATUS_MISMATCH,14344,,med,2026-05-12T07:32:28.436467
REF-20260512073358,MISSING_IN_MERCHANT,14428,,high,2026-05-12T07:33:58.859992
REF-20260512073428,STATUS_MISMATCH,6597,,med,2026-05-12T07:34:28.948479
REF-20260512073459,AMOUNT_MISMATCH,90718,91048.0,med,2026-05-12T07:34:59.149407
REF-20260512073529,STATUS_MISMATCH,2993,,med,2026-05-12T07:35:29.218512
REF-20260512073629,MISSING_IN_MERCHANT,11907,,high,2026-05-12T07:36:29.231266
REF-20260512073659,AMOUNT_MISMATCH,19198,19649.0,med,2026-05-12T07:36:59.242341
REF-20260512073729,AMOUNT_MISMATCH,19602,19887.0,med,2026-05-12T07:37:29.248210
REF-20260512073759,AMOUNT_MISMATCH,54505,54943.0,med,2026-05-12T07:37:59.256492
REF-20260512073829,AMOUNT_MISMATCH,48624,48896.0,med,2026-05-12T07:38:29.466697
REF-20260512073859,MISSING_IN_MERCHANT,67051,,high,2026-05-12T07:38:59.651837
REF-20260512073959,AMOUNT_MISMATCH,60205,60627.0,med,2026-05-12T07:39:59.933595
REF-20260512074030,AMOUNT_MISMATCH,70589,70861.0,med,2026-05-12T07:40:30.039271
REF-20260512074100,AMOUNT_MISMATCH,40505,40901.0,med,2026-05-12T07:41:00.141430
REF-20260512074130,MISSING_IN_MERCHANT,19729,,high,2026-05-12T07:41:30.291167
REF-20260512074200,MISSING_IN_MERCHANT,17057,,high,2026-05-12T07:42:00.302233
REF-20260512074230,AMOUNT_MISMATCH,38228,38589.0,med,2026-05-12T07:42:30.307478
REF-20260512074330,MISSING_IN_MERCHANT,74014,,high,2026-05-12T07:43:30.336424
REF-20260512074400,STATUS_MISMATCH,84254,,med,2026-05-12T07:44:00.349707
REF-20260512074430,STATUS_MISMATCH,71227,,med,2026-05-12T07:44:30.432093
REF-20260512074500,MISSING_IN_MERCHANT,37871,,high,2026-05-12T07:45:00.611780
REF-20260512074530,MISSING_IN_MERCHANT,15055,,high,2026-05-12T07:45:30.726898
REF-20260512074631,MISSING_IN_MERCHANT,15708,,high,2026-05-12T07:46:31.021979
REF-20260512081925,AMOUNT_MISMATCH,88774,88945.0,med,2026-05-12T08:19:25.891410
REF-20260512081955,AMOUNT_MISMATCH,23692,23801.0,med,2026-05-12T08:19:55.987524
REF-20260512082056,MISSING_IN_MERCHANT,81216,,high,2026-05-12T08:20:56.240237
REF-20260512082126,AMOUNT_MISMATCH,74350,74478.0,med,2026-05-12T08:21:26.307074
REF-20260512082156,AMOUNT_MISMATCH,56287,56547.0,med,2026-05-12T08:21:56.388606
REF-20260512082256,STATUS_MISMATCH,65303,,med,2026-05-12T08:22:56.622510
REF-20260512082356,AMOUNT_MISMATCH,36249,36650.0,med,2026-05-12T08:23:56.701189
REF-20260512082426,STATUS_MISMATCH,40544,,med,2026-05-12T08:24:26.706670
REF-20260512082456,STATUS_MISMATCH,22635,,med,2026-05-12T08:24:56.721085
